city,year,suhi_day_C_mean,suhi_night_C_mean,dEVI_mean,t2m_C_mean,rh_pct_mean,wind10_ms_mean,precip_mm_mean,cloud_frac_mean,blh_m_mean,n_months,n_valid_day,n_valid_night,urban_lst_day_C_mean,urban_lst_night_C_mean,rural_lst_day_C_mean,rural_lst_night_C_mean,period,season
Adelaide,2003,2.045158024,0.527008018,-0.052817299,15.32666282,65.74730479,2.132090044,43.22346642,0.427211476,640.6306701,12,12,12,26.52478019,11.14624933,24.47962216,10.61924132,ANNUAL,Annual
Adelaide,2004,2.032500416,0.732248502,-0.052175765,15.52379993,64.53439179,1.915756467,42.04023488,0.455223515,639.3272179,12,12,12,26.7311379,10.81997,24.69863748,10.0877215,ANNUAL,Annual
Adelaide,2005,2.222426608,0.519350555,-0.047827166,15.74088573,64.96119475,1.625390981,51.03795093,0.447546396,622.1460131,12,12,12,27.07552161,11.31863254,24.853095,10.79928199,ANNUAL,Annual
Adelaide,2006,2.045268853,0.589489595,-0.053092595,15.5283903,62.1972624,1.566042797,31.62451564,0.406909855,609.3196981,12,12,12,27.4486658,10.97062241,25.40339695,10.38113282,ANNUAL,Annual
Adelaide,2007,1.891950529,0.351880447,-0.054436859,16.34034948,62.37417495,1.765477978,44.26696676,0.413436169,653.9869758,12,12,12,27.74777442,12.03959165,25.85582389,11.68771121,ANNUAL,Annual
Adelaide,2008,2.044895415,0.885523741,-0.060010143,15.6038491,62.77686306,1.648990356,39.35887585,0.440643358,649.5632688,12,12,12,27.55217602,10.94300285,25.50728061,10.05747911,ANNUAL,Annual
Adelaide,2009,2.138341699,0.619416523,-0.064043,16.26969892,63.87987383,1.974127582,44.7744512,0.42730634,653.1334975,12,12,12,27.65460091,12.09854903,25.51625921,11.4791325,ANNUAL,Annual
Adelaide,2010,2.37825215,0.632887373,-0.063296265,15.62114376,66.84745191,1.449072126,52.70598433,0.493646065,610.8383575,12,12,12,26.64829757,11.10544496,24.27004542,10.47255758,ANNUAL,Annual
Adelaide,2011,2.47183707,0.760349925,-0.063302647,15.74582647,66.93135665,1.556760766,41.5394925,0.456915991,585.3919754,12,12,12,26.89315188,11.38181976,24.42131481,10.62146983,ANNUAL,Annual
Adelaide,2012,2.154146353,0.383324898,-0.05683704,15.67261445,64.26618549,1.437268578,36.15203454,0.447583182,637.5080501,12,12,12,26.8928811,11.29000046,24.73873475,10.90667557,ANNUAL,Annual
Adelaide,2013,2.107057565,0.868575969,-0.062905746,16.35553483,64.17650806,1.867076331,46.78419243,0.483102019,638.1989316,12,12,12,27.72199296,11.85151753,25.6149354,10.98294156,ANNUAL,Annual
Adelaide,2014,2.052202546,0.764884877,-0.059611611,16.18699877,64.66902117,1.70289298,37.64976119,0.465899693,603.9059774,12,12,12,27.61324371,11.64395832,25.56104116,10.87907344,ANNUAL,Annual
Adelaide,2015,2.011885835,0.537256478,-0.055802841,15.80136639,64.29685197,1.562085599,31.69053406,0.466942431,616.8011388,12,12,12,27.25444495,11.16838861,25.24255912,10.63113213,ANNUAL,Annual
Adelaide,2016,2.310332733,0.614478523,-0.063107349,15.59295911,67.89610185,2.033036386,60.61466205,0.51258419,642.5575498,12,12,12,26.75483995,11.13615063,24.44450722,10.5216721,ANNUAL,Annual
Adelaide,2017,2.476575398,0.656545682,-0.061349942,15.96914925,65.96152349,1.771949104,41.77717666,0.464777545,621.4401323,12,12,12,27.41218076,11.84804908,24.93560536,11.19150339,ANNUAL,Annual
Adelaide,2018,2.149706807,0.905965528,-0.058534743,16.10521164,61.90546797,1.759828405,33.39445725,0.465878492,655.9078011,12,12,12,27.93826561,11.59417747,25.7885588,10.68821195,ANNUAL,Annual
Adelaide,2019,2.018330611,0.778725018,-0.060653658,16.02388792,61.68085393,1.761972983,33.08285797,0.440397564,644.6023235,12,12,12,28.1590339,11.7297485,26.14070329,10.95102348,ANNUAL,Annual
Adelaide,2020,2.253375603,0.791503777,-0.056466844,15.25551541,66.2486989,1.600823429,43.71984567,0.502060636,630.6076666,12,12,12,27.00183479,10.80161541,24.74845919,10.01011163,ANNUAL,Annual
Adelaide,2021,2.337896444,0.799652087,-0.05482177,15.27237897,65.22079046,1.891181662,42.58406178,0.473127846,643.174981,12,12,12,26.86160004,11.11808114,24.5237036,10.31842905,ANNUAL,Annual
Adelaide,2022,2.508617192,0.686159455,-0.060527565,15.36230105,70.18712077,1.713476101,55.82121212,0.522337535,637.3847458,12,12,12,25.96061588,11.35259731,23.45199869,10.66643786,ANNUAL,Annual
Adelaide,2023,2.516493101,0.676040762,-0.060653831,15.46067879,68.28797604,2.044428911,41.63075353,0.455654049,602.2293059,12,12,12,26.39427449,11.6518655,23.87778138,10.97582474,ANNUAL,Annual
Adelaide,2024,2.034609395,0.694769879,-0.048521932,16.02099583,65.49573647,1.740306648,30.17817358,0.438268789,585.0701373,12,12,12,26.24742126,11.93607314,24.21281187,11.24130326,ANNUAL,Annual
Adelaide,2025,1.870877404,0.512011696,-0.057037451,15.99428062,63.92034132,1.9589135,36.11081301,0.439265123,633.2456056,12,12,12,24.72808258,11.83191417,22.85720518,11.31990248,ANNUAL,Annual
Brisbane,2003,1.373764533,0.348487321,-0.032949547,19.63350464,71.58174899,1.443468525,69.28723318,0.407863383,606.8706881,12,12,12,29.65839717,15.36025246,28.28463264,15.01176514,ANNUAL,Annual
Brisbane,2004,1.381284793,0.40962539,-0.043421122,20.01252827,70.80521443,1.27283696,85.10457454,0.375527229,592.8086047,12,12,12,30.5455293,16.03026984,29.1642445,15.62064445,ANNUAL,Annual
Brisbane,2005,1.188854335,0.310099856,-0.040726466,20.32043461,72.21123885,1.434784998,62.88336118,0.398559466,602.8906255,12,12,12,30.14653505,16.24070058,28.95768072,15.93060072,ANNUAL,Annual
Brisbane,2006,1.313276386,0.497203294,-0.042929255,19.72581129,71.74312901,1.42860911,73.82183862,0.4032879,598.1337485,12,12,12,30.19467722,15.73531473,28.88140083,15.23811144,ANNUAL,Annual
Brisbane,2007,1.091807439,0.515753181,-0.033955475,19.97086893,70.95017957,1.634676736,69.83547077,0.452848657,612.3873359,12,12,12,30.70706446,15.97774459,29.61525702,15.46199141,ANNUAL,Annual
Brisbane,2008,1.592574228,0.399149371,-0.043800499,19.460332,72.16882455,1.509801709,87.98971534,0.443474972,604.0617262,12,12,12,29.27819296,15.63957793,27.68561873,15.24042855,ANNUAL,Annual
Brisbane,2009,1.697664112,0.420388446,-0.052281593,20.27765403,70.51628368,1.555025643,70.67807001,0.394089904,608.1144136,12,12,12,30.32364821,16.34433089,28.6259841,15.92394245,ANNUAL,Annual
Brisbane,2010,1.724816765,0.573211106,-0.052226558,19.94380526,74.45577993,1.556794432,118.9492235,0.544066749,571.0076256,12,12,12,28.67072241,15.79452134,26.94590565,15.22131024,ANNUAL,Annual
Brisbane,2011,1.825537874,0.503679096,-0.058141965,19.48926849,72.20849386,1.663124101,88.28811233,0.44577551,602.9691322,12,12,12,28.9205649,15.5164827,27.09502702,15.0128036,ANNUAL,Annual
Brisbane,2012,1.770918351,0.539899328,-0.055030411,19.64724092,71.24003385,1.474876448,102.9085629,0.425441233,589.1367076,12,12,12,29.85090237,15.58288444,28.07998402,15.04298511,ANNUAL,Annual
Brisbane,2013,1.710727143,0.466673152,-0.063163492,20.08622529,72.18109823,1.535371883,92.2195401,0.422356737,591.7871578,12,12,12,30.33058752,15.99819411,28.61986037,15.53152096,ANNUAL,Annual
Brisbane,2014,1.478707636,0.660321762,-0.050627518,20.27067978,70.00707744,1.521847922,54.35829817,0.417361761,626.5652336,12,12,12,30.98141445,16.09876761,29.50270681,15.43844585,ANNUAL,Annual
Brisbane,2015,1.861242901,0.639353813,-0.058694196,19.94176664,73.39336937,1.468966674,89.53553159,0.419377154,575.9756909,12,12,12,29.78566445,15.84996046,27.92442155,15.21060665,ANNUAL,Annual
Brisbane,2016,1.513902674,0.615638512,-0.04831815,20.52851289,70.32458266,1.343065498,63.3793079,0.431449025,614.3436138,12,12,12,31.0016259,16.52482742,29.48772323,15.90918891,ANNUAL,Annual
Brisbane,2017,1.784186232,0.474342339,-0.061776714,20.63952554,70.07786922,1.530395966,78.45602139,0.40547719,597.0414517,12,12,12,30.83806308,16.55052307,29.05387684,16.07618073,ANNUAL,Annual
Brisbane,2018,1.763192481,0.50492904,-0.056077501,20.14692507,70.04270569,1.494680366,69.82417505,0.394423164,611.7830787,12,12,12,30.37564293,16.21606091,28.61245045,15.71113187,ANNUAL,Annual
Brisbane,2019,1.245351786,0.610539828,-0.045842281,20.61467014,68.05636765,1.523283264,53.40358992,0.375103043,633.2072691,12,12,12,31.52568191,16.46676221,30.28033013,15.85622238,ANNUAL,Annual
Brisbane,2020,1.49962587,0.563319325,-0.059355964,20.41593013,71.67088526,1.468308426,96.15086543,0.46307012,596.1437302,12,12,12,30.96234709,16.45637468,29.46272122,15.89305536,ANNUAL,Annual
Brisbane,2021,2.000068347,0.457431889,-0.058768291,19.80951917,73.67644953,1.253214167,120.5095775,0.462672951,560.9502951,12,12,12,29.89570643,15.55756593,27.89563808,15.10013404,ANNUAL,Annual
Brisbane,2022,1.984528425,0.537472938,-0.063202501,19.60989295,74.92569705,1.428009865,139.4880439,0.510343544,588.9607499,12,12,12,28.53679454,15.57276476,26.55226612,15.03529182,ANNUAL,Annual
Brisbane,2023,1.642488219,0.553530634,-0.053106893,20.2480397,70.79183144,1.266075248,54.60077855,0.419946387,594.9394155,12,12,12,30.26317981,16.28155295,28.62069159,15.72802232,ANNUAL,Annual
Brisbane,2024,1.808598181,0.547745928,-0.072683624,20.65907235,77.04814831,1.520386792,104.7372355,0.482851764,542.3051414,12,12,12,28.19523541,16.58952032,26.38663723,16.04177439,ANNUAL,Annual
Brisbane,2025,1.584809362,0.553686494,-0.077154303,20.47722826,74.68225085,1.55932899,113.1187761,0.454085286,583.2877514,12,12,12,27.08372545,16.87393022,25.49891608,16.32024372,ANNUAL,Annual
Melbourne,2003,0.059212717,1.09748492,-0.067433162,14.05470002,70.54292762,1.881016167,56.73514206,0.542174202,661.5119838,12,12,12,24.4022133,9.190329461,24.34300058,8.092844541,ANNUAL,Annual
